SCX,Salina Cruz,Oaxaca, Mexico,Salina Cruz,
SCY,San Cristóbal Island,Galápagos Islands,Ecuador,San Cristobal Island,
SCZ,Santa Cruz Islands,Solomon Islands,,Santa Cruz Islands,
SDB,Saldanha Bay,South Africa,,Saldanha Bay,
SDC,Sand Creek Village,Guyana,,Sand Creek Village,
SDD,Lubango,Angola,,Lubango,
SDE,Santiago del Estero,Santiago del Estero, Argentina,Santiago del Estero,
SDF,Louisville,Kentucky, United States,Louisville,
SDG,Sanandaj,Iran,,Sanandaj,
SDH,Santa Rosa de Copán,Honduras,,Santa Rosa de Copan,
SDI,Saidor,Papua New Guinea,,Saidor,
SDJ,Sendai,Honshu, Japan,Sendai,
SDK,Sandakan,Sabah, Malaysia,Sandakan,
SDL,Sundsvall/Härnösand,Sweden,,Sundsvall/Harnosand,
SDM,San Diego,California, United States,San Diego,
SDN,Sandane,Norway,,Sandane,
SDP,Sand Point,Alaska, United States,Sand Point,
SDQ,Santo Domingo,Dominican Republic,,Santo Domingo,
SDR,Santander,Cantabria, Spain,Santander,
SDS,Sado,Niigata, Japan,Sado,
SDT,Saidu Sharif,Pakistan,,Saidu Sharif,
SDU,Rio de Janeiro,Rio de Janeiro, Brazil,Rio de Janeiro,
SDV,Tel Aviv,Israel,,Tel Aviv,
SDX,Sedona,Arizona, United States,Sedona,
SDY,Sidney,Montana, United States,Sidney,
SDZ,Shetland Islands,Scotland, United Kingdom,Shetland Islands,
SEA,Seattle,Washington, United States,Seattle,
SEB,Sabha(Sebha),Libya,,Sabha(Sebha),
SED,Neve Zohar(Sedom),Israel,,Neve Zohar(Sedom),
SEE,San Diego,California, United States,San Diego,
SEF,Sebring,Florida, United States,Sebring,
SEG,Selinsgrove,Pennsylvania, United States,Selinsgrove,
SEH,Senggeh,Indonesia,,Senggeh,
SEK,Srednekolymsk,Yakutia, Russia,Srednekolymsk,
SEL,Seoul,South Korea,,Seoul,
SEM,Selma,Alabama, United States,Selma,
SEN,London/Southend,England, United Kingdom,London/Southend,
SEO,Séguéla,Ivory Coast,,Seguela,
SEP,Stephenville,Texas, United States,Stephenville,
SEQ,Bengkalis,Indonesia,,Bengkalis,
SER,Seymour,Indiana, United States,Seymour,
SEU,Seronera,Tanzania,,Seronera,
SEV,Severodonetsk,Ukraine,,Severodonetsk,
SEW,Siwa Oasis,Egypt,,Siwa Oasis,
SEY,Sélibaby,Mauritania,,Selibaby,
SEZ,Mahé,Seychelles,,Mahe,
SFA,Sfax,Tunisia,,Sfax,
SFB,Orlando,Florida, United States,Orlando,
SFC,Saint-François,Guadeloupe,,Saint-Francois,
SFD,San Fernando de Apure,Venezuela,,San Fernando de Apure,
SFE,San Fernando,Philippines,,San Fernando,
SFF,Spokane,Washington, United States,Spokane,
SFG,Grand Case,Saint Martin,,Grand Case,
SFH,San Felipe,Baja California, Mexico,San Felipe,
SFJ,Kangerlussuaq,Greenland,,Kangerlussuaq,
SFK,Soure,Pará, Brazil,Soure,
SFL,São Filipe,Fogo,Cape Verde,Sao Filipe,
SFM,Sanford,Maine, United States,Sanford,
SFN,Santa Fe de la Vera Cruz,Santa Fe, Argentina,Santa Fe de la Vera Cruz,
SFO,San Francisco,California, United States,San Francisco,
SFS,Subic Bay,Philippines,,Subic Bay,
SFT,SkellefteA,Sweden,,SkellefteA,
SFU,Safia,Papua New Guinea,,Safia,
SFV,Santa Fé do Sul,São Paulo, Brazil,Santa Fe do Sul,
SFX,San Félix,Venezuela,,San Felix,
SFY,Springfield,Massachusetts, United States,Springfield,
SFZ,Pawtucket,Rhode Island, United States,Pawtucket,
SGA,Shighnan,Afghanistan,,Shighnan,
SGB,Singaua,Papua New Guinea,,Singaua,
SGC,Surgut,Khanty-Mansi Autonomous Okrug, Russia,Surgut,
SGD,Sønderborg,Denmark,,Sonderborg,
SGE,Siegen,North Rhine-Westphalia, Germany,Siegen,
SGF,Springfield,Missouri, United States,Springfield,
SGH,Springfield,Ohio, United States,Springfield,
SGI,Sargodha,Pakistan,,Sargodha,
SGJ,Sagarai,Papua New Guinea,,Sagarai,
SGK,Sangapi,Papua New Guinea,,Sangapi,
SGL,Manila,Philippines,,Manila,
SGM,San Ignacio,Baja California Sur, Mexico,San Ignacio,
SGN,Ho Chi Minh City,Vietnam,,Ho Chi Minh City,
SGO,St George,Queensland, Australia,St George,
SGP,Shay Gap,Western Australia, Australia,Shay Gap,
SGQ,Sangatta,Indonesia,,Sangatta,
SGR,Houston/Sugar Land,Texas, United States,Houston/Sugar Land,
SGT,Stuttgart,Arkansas, United States,Stuttgart,
SGU,St. George,Utah, United States,St George,
SGV,Sierra Grande,Río Negro, Argentina,Sierra Grande,
SGW,Saginaw Bay,Alaska, United States,Saginaw Bay,
SGX,Songea,Tanzania,,Songea,
SGY,Skagway,Alaska, United States,Skagway,
SGZ,Songkhla,Thailand,,Songkhla,
SHA,Shanghai, China,,Shanghai,
SHB,Nakashibetsu,Hokkaido, Japan,Nakashibetsu,
SHC,Shire(Inda Selassie),Ethiopia,,Shire(Inda Selassie),
SHD,Staunton/Waynesboro/Harrisonburg,Virginia, United States,Staunton/Waynesboro/Harrisonburg,
SHE,Shenyang,Liaoning, China,Shenyang,
SHF,Shihezi,Xinjiang, China,Shihezi,
SHG,Shungnak,Alaska, United States,Shungnak,
SHH,Shishmaref,Alaska, United States,Shishmaref,
SHI,Shimoji-shima,Miyako Islands, Japan,Shimoji-shima,
SHJ,Sharjah,United Arab Emirates,,Sharjah,
SHK,Sehonghong,Lesotho,,Sehonghong,
SHL,Shillong,Meghalaya, India,Shillong,
SHM,Shirahama,Honshu, Japan,Shirahama,
SHN,Shelton,Washington, United States,Shelton,
SHO,Manzini,Swaziland,,Manzini,
SHQ,Southport,Queensland, Australia,Southport,
SHR,Sheridan,Wyoming, United States,Sheridan,
SHS,Jingzhou,Hubei, China,Jingzhou,
SHT,Shepparton,Victoria, Australia,Shepparton,
SHU,Smith Point,Northern Territory, Australia,Smith Point,
SHV,Shreveport,Louisiana, United States,Shreveport,
SHW,Sharurah,Saudi Arabia,,Sharurah,
SHX,Shageluk,Alaska, United States,Shageluk,
SHY,Shinyanga,Tanzania,,Shinyanga,
SHZ,Seshote,Lesotho,,Seshote,
SIA,Xi'an,Shaanxi, China,Xi'an,
SIB,Sibiti,Republic of the Congo,,Sibiti,
SIC,San José Island,Panama,,San Jose Island,
SID,Sal,Cape Verde,,Sal,
SIE,Sines,Portugal,,Sines,
SIF,Simara,Nepal,,Simara,
SIG,San Juan,Puerto Rico,,San Juan,
SIH,Dipayal Silgadhi,Nepal,,Dipayal Silgadhi,
SII,Sidi Ifni,Morocco,,Sidi Ifni,
SIJ,Siglufjörður,Iceland,,Siglufjordur,
SIK,Sikeston,Missouri, United States,Sikeston,
SIL,Sila,Papua New Guinea,,Sila,
SIM,Simbai,Papua New Guinea,,Simbai,
SIN,Singapore,,,Singapore,
SIO,Smithton,Tasmania, Australia,Smithton,
SIP,Simferopol,,,Simferopol,
SIQ,Singkep,Indonesia,,Singkep,
SIR,Sion,Switzerland,,Sion,
SIS,Dingleton,South Africa,,Dingleton,
SIT,Sitka,Alaska, United States,Sitka,
SIU,Siuna,Nicaragua,,Siuna,
SIV,Sullivan,Indiana, United States,Sullivan,
SIW,Parapat,Indonesia,,Parapat,
SIX,Singleton,New South Wales, Australia,Singleton,
SIY,Montague/Yreka,California, United States,Montague/Yreka,
SIZ,Sissano,Papua New Guinea,,Sissano,
SJA,San Juan de Marcona,Peru,,San Juan de Marcona,
SJB,San Joaquín,Bolivia,,San Joaquin,
SJC,San Jose,California, United States,San Jose,
SJD,San José del Cabo,Baja California Sur, Mexico,San Jose del Cabo,
SJE,San José del Guaviare,Colombia,,San Jose del Guaviare,
SJF,Saint John,United States Virgin Islands,,Saint John,
SJG,San Pedro de Jagua,Colombia,,San Pedro de Jagua,
SJH,San Juan del Cesar,Colombia,,San Juan del Cesar,
SJI,San Jose,Philippines,,San Jose,
SJJ,Sarajevo,Bosnia and Herzegovina,,Sarajevo,
SJK,São José dos Campos,São Paulo, Brazil,Sao Jose dos Campos,
SJL,São Gabriel da Cachoeira,Amazonas, Brazil,Sao Gabriel da Cachoeira,
SJN,St. Johns,Arizona, United States,St Johns,
SJO,San José,Costa Rica,,San Jose,
SJP,São José do Rio Preto,São Paulo, Brazil,Sao Jose do Rio Preto,
SJQ,Sesheke,Zambia,,Sesheke,
SJR,San Juan de Urabá,Colombia,,San Juan de Uraba,
SJS,San José de Chiquitos,Bolivia,,San Jose de Chiquitos,
SJT,San Angelo,Texas, United States,San Angelo,
SJU,San Juan,Puerto Rico,,San Juan,
SJV,San Javier,Bolivia,,San Javier,
SJW,Shijiazhuang,Hebei, China,Shijiazhuang,
SJX,Sarteneja,Belize,,Sarteneja,
SJY,Seinäjoki,Finland,,Seinajoki,
SJZ,São Jorge Island,Azores,Portugal,Sao Jorge Island,
SKA,Spokane,Washington, United States,Spokane,
SKB,Saint Kitts,Saint Kitts and Nevis,,Saint Kitts,
SKC,Suki,Papua New Guinea,,Suki,
SKD,Samarkand,Uzbekistan,,Samarkand,
SKE,Skien,Norway,,Skien,
SKF,San Antonio,Texas, United States,San Antonio,
SKG,Thessaloniki,Greece,,Thessaloniki,
SKH,Surkhet,Nepal,,Surkhet,
SKI,Skikda,Algeria,,Skikda,
SKK,Shaktoolik,Alaska, United States,Shaktoolik,
SKL,Isle of Skye,Scotland, United Kingdom,Isle of Skye,
SKM,Skeldon,Guyana,,Skeldon,
SKN,Stokmarknes,Norway,,Stokmarknes,
SKO,Sokoto,Nigeria,,Sokoto,
SKP,Skopje,Macedonia,,Skopje,
SKQ,Sekake,Lesotho,,Sekake,
SKR,Shakiso,Ethiopia,,Shakiso,
SKS,Vojens,Denmark,,Vojens,
SKT,Sialkot,Pakistan,,Sialkot,
SKU,Skyros,Greece,,Skyros,
SKV,Saint Catherine,Egypt,,Saint Catherine,
SKW,Skwentna,Alaska, United States,Skwentna,
SKX,Saransk,Mordovia, Russia,Saransk,
SKY,Sandusky,Ohio, United States,Sandusky,
SKZ,Sukkur,Pakistan,,Sukkur,
SLA,Salta,Salta, Argentina,Salta,
SLB,Storm Lake,Iowa, United States,Storm Lake,
SLC,Salt Lake City,Utah, United States,Salt Lake City,
SLE,Salem,Oregon, United States,Salem,
SLF,As Sulayyil(Sulayel),Saudi Arabia,,As Sulayyil(Sulayel),
SLG,Siloam Springs,Arkansas, United States,Siloam Springs,
SLH,Sola,Vanua Lava,Vanuatu,Sola,
SLI,Solwezi,Zambia,,Solwezi,
SLJ,Karijini National Park,Western Australia, Australia,Karijini National Park,
SLK,Saranac Lake,New York, United States,Saranac Lake,
SLL,Salalah,Oman,,Salalah,
SLM,Salamanca,Castile and León, Spain,Salamanca,
SLN,Salina,Kansas, United States,Salina,
SLO,Salem,Illinois, United States,Salem,
SLP,San Luis Potosí City,San Luis Potosí, Mexico,San Luis Potosi City,
SLQ,Sleetmute,Alaska, United States,Sleetmute,
SLR,Sulphur Springs,Texas, United States,Sulphur Springs,
SLS,Silistra,Bulgaria,,Silistra,
SLT,Salida,Colorado, United States,Salida,
SLU,Castries,Saint Lucia,,Castries,
SLV,Simla,Himachal Pradesh, India,Simla,
SLW,Saltillo,Coahuila, Mexico,Saltillo,
SLX,Salt Cay,British Overseas TerritoryofTurks and Caicos Islands,,Salt Cay,
SLY,Salekhard,Yamalo-Nenets Autonomous Okrug, Russia,Salekhard,
SLZ,São Luís,Maranhão, Brazil,Sao Luis,
SMA,Santa Maria Island,Azores,Portugal,Santa Maria Island,
SMB,Cerro Sombrero,Chile,,Cerro Sombrero,
SMC,Santa María,Colombia,,Santa Maria,
SMD,Fort Wayne,Indiana, United States,Fort Wayne,
SME,Somerset,Kentucky, United States,Somerset,
SMF,Sacramento,California, United States,Sacramento,
SMG,Santa María del Mar,Peru,,Santa Maria del Mar,
SMH,Sapmanga,Papua New Guinea,,Sapmanga,
SMI,Samos,Greece,,Samos,
SMJ,Sim,Papua New Guinea,,Sim,
SMK,St. Michael,Alaska, United States,St Michael,
SML,Stella Maris,Long Island,Bahamas,Stella Maris,
SMM,Semporna,Sabah, Malaysia,Semporna,
SMN,Salmon,Idaho, United States,Salmon,
SMO,Santa Monica,California, United States,Santa Monica,
SMP,Stockholm,Papua New Guinea,,Stockholm,
SMQ,Sampit,Indonesia,,Sampit,
SMR,Santa Marta,Colombia,,Santa Marta,
SMS,Île Sainte-Marie,Madagascar,,Ile Sainte-Marie,
SMU,Sheep Mountain,Alaska, United States,Sheep Mountain,
SMV,St. Moritz,Switzerland,,St Moritz,
SMW,Smara,Morocco,,Smara,
SMX,Santa Maria,California, United States,Santa Maria,
SMY,Simenti,Senegal,,Simenti,
SMZ,Stoelmans Eiland(Stoelmanseiland),Suriname,,Stoelmans Eiland(Stoelmanseiland),
SNA,Santa Ana,California, United States,Santa Ana,
SNB,Milikapiti,Northern Territory, Australia,Milikapiti,
SNC,Salinas,Ecuador,,Salinas,
SNE,São Nicolau,Cape Verde,,Sao Nicolau,
SNF,San Felipe,Venezuela,,San Felipe,
SNG,San Ignacio de Velasco,Bolivia,,San Ignacio de Velasco,
SNH,Stanthorpe,Queensland, Australia,Stanthorpe,
SNI,Greenville,Liberia,,Greenville,
SNJ,Guane,Cuba,,Guane,
SNK,Snyder,Texas, United States,Snyder,
SNL,Shawnee,Oklahoma, United States,Shawnee,
SNM,San Ignacio de Moxos,Bolivia,,San Ignacio de Moxos,
SNN,Shannon,Ireland,,Shannon,
SNO,Sakon Nakhon,Thailand,,Sakon Nakhon,
SNP,St. Paul Island,Alaska, United States,St Paul Island,
SNQ,San Quintín,Baja California, Mexico,San Quintin,
SNR,Saint-Nazaire,Pays de la Loire, France,Saint-Nazaire,
SNS,Salinas,California, United States,Salinas,
SNT,Sabana de Torres,Colombia,,Sabana de Torres,
SNU,Santa Clara,Cuba,,Santa Clara,
SNV,Santa Elena de Uairén,Venezuela,,Santa Elena de Uairen,
SNW,Thandwe,Myanmar,,Thandwe,
SNX,Semnan,Iran,,Semnan,
SNY,Sidney,Nebraska, United States,Sidney,
SNZ,Rio de Janeiro,Rio de Janeiro, Brazil,Rio de Janeiro,
SOB,Hévíz,Hungary,,Heviz,
SOC,Surakarta(Solo),Indonesia,,Surakarta(Solo),
SOD,Sorocaba,São Paulo, Brazil,Sorocaba,
SOE,Souanké,Republic of the Congo,,Souanke,
SOF,Sofia,Bulgaria,,Sofia,
SOG,Sogndal,Norway,,Sogndal,
SOJ,Sørkjosen,Norway,,Sorkjosen,
SOK,Semonkong,Lesotho,,Semonkong,
SOL,Solomon,Alaska, United States,Solomon,
SOM,San Tomé,Venezuela,,San Tome,
SON,Luganville,Vanuatu,,Luganville,
SOO,Söderhamn,Sweden,,Soderhamn,
SOP,Pinehurst/Southern Pines,North Carolina, United States,Pinehurst/Southern Pines,
SOQ,Sorong,Indonesia,,Sorong,
SOT,Sodankylä,Finland,,Sodankyla,
SOU,Southampton,England, United Kingdom,Southampton,
SOV,Seldovia,Alaska, United States,Seldovia,
SOW,Show Low,Arizona, United States,Show Low,
SOX,Sogamoso,Colombia,,Sogamoso,
SOY,Stronsay,Scotland, United Kingdom,Stronsay,
SOZ,Sari-Solenzara,Corsica, France,Sari-Solenzara,
SPA,Spartanburg,South Carolina, United States,Spartanburg,
SPB,St. Thomas Island,United States Virgin Islands,,St Thomas Island,
SPC,La Palma,Canary Islands, Spain,La Palma,
SPD,Saidpur,Bangladesh,,Saidpur,
SPE,Sapulut,Sabah, Malaysia,Sapulut,
SPF,Spearfish,South Dakota, United States,Spearfish,
SPG,St. Petersburg,Florida, United States,St Petersburg,
SPH,Sopu,Papua New Guinea,,Sopu,
SPI,Springfield,Illinois, United States,Springfield,
SPJ,Sparti(Sparta),Greece,,Sparti(Sparta),
SPK,Sapporo,Hokkaido, Japan,Sapporo,
SPM,Spangdahlem,Rhineland-Palatinate, Germany,Spangdahlem,
SPN,Saipan,Northern Mariana Islands,,Saipan,
SPP,Menongue,Angola,,Menongue,
SPR,San Pedro Town,Belize,,San Pedro Town,
SPS,Wichita Falls,Texas, United States,Wichita Falls,
SPT,Sipitang,Sabah, Malaysia,Sipitang,
SPU,Split,Croatia,,Split,
SPV,Sepik Plains,Papua New Guinea,,Sepik Plains,
SPW,Spencer,Iowa, United States,Spencer,
SPY,San-Pédro,Ivory Coast,,San-Pedro,
SPX,Egypt,Egypt,,Egypt,
SPZ,Springdale,Arkansas, United States,Springdale,
SQA,Santa Ynez,California, United States,Santa Ynez,
SQB,Piedras,Colombia,,Piedras,
SQC,Southern Cross,Western Australia, Australia,Southern Cross,
SQD,Shangrao,Jiangxi, China,Shangrao,
SQE,San Luis de Palenque,Colombia,,San Luis de Palenque,
SQG,Sintang,Indonesia,,Sintang,
SQI,Sterling/Rock Falls,Illinois, United States,Sterling/Rock Falls,
SQJ,Sanming,Fujian, China,Sanming,
SQK,Sidi Barrani,Egypt,,Sidi Barrani,
SQL,San Carlos,California, United States,San Carlos,
SQM,São Miguel do Araguaia,Goiás, Brazil,Sao Miguel do Araguaia,
SQN,Sanana Island,Indonesia,,Sanana Island,
SQO,Storuman,Sweden,,Storuman,
SQQ,Šiauliai,Lithuania,,siauliai,
SQR,Soroako,Indonesia,,Soroako,
SQS,San Ignacio,Belize,,San Ignacio,
SQT,Samarai,Papua New Guinea,,Samarai,
SQU,Saposoa,Peru,,Saposoa,
SQV,Sequim,Washington, United States,Sequim,
SQW,Skive,Denmark,,Skive,
SQX,São Miguel do Oeste,Santa Catarina, Brazil,Sao Miguel do Oeste,
SQY,São Lourenço do Sul,Rio Grande do Sul, Brazil,Sao Lourenco do Sul,
SQZ,Scampton,England, United Kingdom,Scampton,
SRA,Santa Rosa,Rio Grande do Sul, Brazil,Santa Rosa,
SRB,Santa Rosa de Yacuma,Bolivia,,Santa Rosa de Yacuma,
SRC,Searcy,Arkansas, United States,Searcy,
SRD,San Ramón,Bolivia,,San Ramon,
SRE,Sucre,Bolivia,,Sucre,
SRF,San Rafael,California, United States,San Rafael,
SRG,Semarang,Indonesia,,Semarang,
SRH,Sarh,Chad,,Sarh,
SRI,Samarinda,Indonesia,,Samarinda,
SRJ,San Borja,Bolivia,,San Borja,
SRL,Santa Rosalía,Baja California Sur, Mexico,Santa Rosalia,
SRM,Sandringham Station,Queensland, Australia,Sandringham Station,
SRN,Strahan,Tasmania, Australia,Strahan,
SRO,Santana Ramos,Colombia,,Santana Ramos,
SRP,Stord,Norway,,Stord,
SRQ,Sarasota/Bradenton,Florida, United States,Sarasota/Bradenton,
SRR,North Stradbroke Island,Queensland, Australia,North Stradbroke Island,
SRS,San Marcos,Colombia,,San Marcos,
SRT,Soroti,Uganda,,Soroti,
SRV,Stony River,Alaska, United States,Stony River,
SRW,Salisbury,North Carolina, United States,Salisbury,
SRX,Sirte,Libya,,Sirte,
SRY,Sari,Iran,,Sari,
SRZ,Santa Cruz de la Sierra,Bolivia,,Santa Cruz de la Sierra,
SSA,Salvador,Bahia, Brazil,Salvador,
SSB,Saint Croix,United States Virgin Islands,,Saint Croix,
SSC,Sumter,South Carolina, United States,Sumter,
SSD,San Felipe,Colombia,,San Felipe,
SSE,Solapur,Maharashtra, India,Solapur,
SSF,San Antonio,Texas, United States,San Antonio,
SSG,Malabo,Equatorial Guinea,,Malabo,
SSH,Sharm el-Sheikh,Egypt,,Sharm el-Sheikh,
SSI,Brunswick,Georgia, United States,Brunswick,
SSJ,Sandnessjøen,Norway,,Sandnessjoen,
SSK,Sturt Creek,Western Australia, Australia,Sturt Creek,
SSL,Santa Rosalía,Colombia,,Santa Rosalia,
SSN,Seoul,South Korea,,Seoul,
SSO,São Lourenço,Minas Gerais, Brazil,Sao Lourenco,
SSP,Silver Plains,Queensland, Australia,Silver Plains,
SSQ,La Sarre,Quebec, Canada,La Sarre,
SSR,Sara,Vanuatu,,Sara,
SSS,Umboi Island(Siassi),Papua New Guinea,,Umboi Island(Siassi),
SST,Santa Teresita,Buenos Aires, Argentina,Santa Teresita,
SSV,Siasi,Philippines,,Siasi,
SSW,Stuart Island,Washington, United States,Stuart Island,
SSY,M'banza-Kongo,Angola,,M'banza-Kongo,
SSZ,Santos,São Paulo, Brazil,Santos,
STA,Skjern,Denmark,,Skjern,
STB,Santa Bárbara del Zulia,Venezuela,,Santa Barbara del Zulia,
STC,St. Cloud,Minnesota, United States,St Cloud,
STD,Santo Domingo, Táchira,Venezuela,Santo Domingo,
STE,Stevens Point,Wisconsin, United States,Stevens Point,
STF,Stephens Island,Queensland, Australia,Stephens Island,
STG,St. George,Alaska, United States,St George,
STH,Strathmore Station,Queensland, Australia,Strathmore Station,
STI,Santiago de los Caballeros,Dominican Republic,,Santiago de los Caballeros,
STJ,St. Joseph,Missouri, United States,St Joseph,
STK,Sterling,Colorado, United States,Sterling,
STL,St. Louis,Missouri, United States,St Louis,
STM,Santarém,Pará, Brazil,Santarem,
STN,London,England, United Kingdom,London,
STO,Stockholm,Sweden,,Stockholm,
STP,St. Paul/Minneapolis,Minnesota, United States,St Paul/Minneapolis,
STQ,St. Marys,Pennsylvania, United States,St Marys,
STR,Stuttgart,Baden-Württemberg, Germany,Stuttgart,
STS,Santa Rosa,California, United States,Santa Rosa,
STT,St. Thomas Island,United States Virgin Islands,,St Thomas Island,
STV,Surat,Gujarat, India,Surat,
STW,Stavropol,Stavropol Krai, Russia,Stavropol,
STX,Saint Croix,United States Virgin Islands,,Saint Croix,
STY,Salto,Uruguay,,Salto,
STZ,Santa Terezinha,Mato Grosso, Brazil,Santa Terezinha,
SUA,Stuart,Florida, United States,Stuart,
SUB,Surabaya,Indonesia,,Surabaya,
SUD,Stroud,Oklahoma, United States,Stroud,
SUE,Sturgeon Bay,Wisconsin, United States,Sturgeon Bay,
SUF,Lamezia Terme,Calabria, Italy,Lamezia Terme,
SUG,Surigao City,Philippines,,Surigao City,
SUH,Sur,Oman,,Sur,
SUI,Sukhumi,Georgia,,Sukhumi,
SUJ,Satu Mare,Romania,,Satu Mare,
SUK,Batagay-Alyta(Sakkyryr),Yakutia, Russia,Batagay-Alyta(Sakkyryr),
SUL,Sui,Pakistan,,Sui,
SUM,Sumter,South Carolina, United States,Sumter,
SUN,Hailey/Sun Valley,Idaho, United States,Hailey/Sun Valley,
SUO,Sunriver,Oregon, United States,Sunriver,
SUP,Sumenep,Indonesia,,Sumenep,
SUQ,Sucúa,Ecuador,,Sucua,
SUR,Summer Beaver,Ontario, Canada,Summer Beaver,
SUS,St. Louis,Missouri, United States,St Louis,
SUT,Sumbawanga,Tanzania,,Sumbawanga,
SUU,Fairfield,California, United States,Fairfield,
SUV,Suva,Fiji,,Suva,
SUW,Superior,Wisconsin, United States,Superior,
SUX,Sioux City,Iowa, United States,Sioux City,
SUY,Suntar,Yakutia, Russia,Suntar,
SUZ,Suria,Papua New Guinea,,Suria,
SVA,Savoonga,Alaska, United States,Savoonga,
SVB,Sambava,Madagascar,,Sambava,
SVC,Silver City,New Mexico, United States,Silver City,
SVD,Saint Vincent,Saint Vincent and the Grenadines,,Saint Vincent,
SVE,Susanville,California, United States,Susanville,
SVF,Savé,Benin,,Save,
SVG,Stavanger,Norway,,Stavanger,
SVH,Statesville,North Carolina, United States,Statesville,
SVI,San Vicente del Caguán,Colombia,,San Vicente del Caguan,
SVJ,Svolvær,Norway,,Svolvaer,
SVK,Silver Creek,Belize,,Silver Creek,
SVL,Savonlinna,Finland,,Savonlinna,
SVM,St Pauls,Queensland, Australia,St Pauls,
SVN,Savannah,Georgia, United States,Savannah,
SVO,Moscow, Russia,,Moscow,
SVP,Kuito,Angola,,Kuito,
SVQ,Seville,Andalusia, Spain,Seville,
SVS,Stevens Village,Alaska, United States,Stevens Village,
SVT,Savuti,Botswana,,Savuti,
SVU,Savusavu,Fiji,,Savusavu,
SVW,Sparrevohn,Alaska, United States,Sparrevohn,
SVX,Yekaterinburg,Sverdlovsk Oblast, Russia,Yekaterinburg,
SVY,Savo Island,Solomon Islands,,Savo Island,
SVZ,San Antonio del Táchira,Venezuela,,San Antonio del Tachira,
SWA,Shantou/Jieyang/Chaozhou,Guangdong, China,Shantou/Jieyang/Chaozhou,
SWB,Shaw River,Western Australia, Australia,Shaw River,
SWC,Stawell,Victoria, Australia,Stawell,
SWD,Seward,Alaska, United States,Seward,
SWE,Siwea,Papua New Guinea,,Siwea,
SWF,Newburgh,New York, United States,Newburgh,
SWG,Satwag,Papua New Guinea,,Satwag,
SWH,Swan Hill,Victoria, Australia,Swan Hill,
SWJ,South West Bay,Vanuatu,,South West Bay,
SWL,San Vicente,Palawan,Philippines,San Vicente,
SWM,Alto Boa Vista,Mato Grosso, Brazil,Alto Boa Vista,
SWN,Sahiwal,Pakistan,,Sahiwal,
SWO,Stillwater,Oklahoma, United States,Stillwater,
SWP,Swakopmund,Namibia,,Swakopmund,
SWQ,Sumbawa Besar,Indonesia,,Sumbawa Besar,
SWR,Silur,Papua New Guinea,,Silur,
SWS,Swansea,Wales, United Kingdom,Swansea,
SWT,Strezhevoy,Tomsk Oblast, Russia,Strezhevoy,
SWU,Suwon,South Korea,,Suwon,
SWV,Evensk,Magadan Oblast, Russia,Evensk,
SWW,Sweetwater,Texas, United States,Sweetwater,
SWX,Shakawe,Botswana,,Shakawe,
SWY,Sitiawan,Perak, Malaysia,Sitiawan,
SXA,Sialum,Papua New Guinea,,Sialum,
SXB,Strasbourg,Alsace, France,Strasbourg,
SXE,Sale,Victoria, Australia,Sale,
SXF,Berlin, Germany,,Berlin,
SXG,Senanga,Zambia,,Senanga,
SXH,Sehulea,Papua New Guinea,,Sehulea,
SXI,Sirri Island,Iran,,Sirri Island,
SXJ,Shanshan,Xinjiang, China,Shanshan,
SXK,Saumlaki,Indonesia,,Saumlaki,
SXL,Sligo,Ireland,,Sligo,
SXM,Sint Maarten,Kingdom of the Netherlands,,Sint Maarten,
SXN,Sua Pan,Botswana,,Sua Pan,
SXO,São Félix do Araguaia,Mato Grosso, Brazil,Sao Felix do Araguaia,
SXP,Nunam Iqua,Alaska, United States,Nunam Iqua,
SXQ,Soldotna,Alaska, United States,Soldotna,
SXR,Srinagar,Jammu and Kashmir, India,Srinagar,
SXS,Sahabat,Sabah, Malaysia,Sahabat,
SXT,Taman Negara,Pahang, Malaysia,Taman Negara,
SXU,Sodo,Ethiopia,,Sodo,
SXV,Salem,Tamil Nadu, India,Salem,
SXW,Sauren,Papua New Guinea,,Sauren,
SXX,São Félix do Xingu,Pará, Brazil,Sao Felix do Xingu,
SXY,Sidney,New York, United States,Sidney,
SXZ,Siirt,Turkey,,Siirt,
SYA,Shemya,Alaska, United States,Shemya,
SYB,Seal Bay,Alaska, United States,Seal Bay,
SYC,Shiringayoc,Peru,,Shiringayoc,
SYD,Sydney,New South Wales, Australia,Sydney,
SYE,Sa'dah,Yemen,,Sa'dah,
SYF,Gabriola Island,British Columbia, Canada,Gabriola Island,
SYG,Namche Bazaar,Nepal,,Namche Bazaar,
SYI,Shelbyville,Tennessee, United States,Shelbyville,
SYJ,Sirjan,Iran,,Sirjan,
SYK,Stykkishólmur,Iceland,,Stykkisholmur,
SYM,Simao,Yunnan, China,Simao,
SYN,Stanton,Minnesota, United States,Stanton,
SYP,Santiago de Veraguas,Panama,,Santiago de Veraguas,
SYQ,San José,Costa Rica,,San Jose,
SYR,Syracuse,New York, United States,Syracuse,
SYS,Saskylakh,Yakutia, Russia,Saskylakh,
SYT,Saint-Yan,Burgundy, France,Saint-Yan,
SYU,Sue Islet,Queensland, Australia,Sue Islet,
SYV,Sylvester,Georgia, United States,Sylvester,
SYW,Sehwan Sharif,Pakistan,,Sehwan Sharif,
SYX,Sanya,Hainan, China,Sanya,
SYY,Stornoway,Scotland, United Kingdom,Stornoway,
